field,canonical_entity,source_form_class,distinct_observed_forms,total_occurrences,modal_form_occurrences,minimum_required_relabels,records,changed_occurrences,fragmentation_rank
datasets,Energy Performance Certification,single_observed_form,1,1,1,0,1,1,
datasets,Civil Society Organisations,single_observed_form,1,1,1,0,1,1,
datasets,Food Survey,single_observed_form,1,1,1,0,1,1,
datasets,Northern Ireland Census 2021 Microdata,single_observed_form,1,1,1,0,1,1,
datasets,Census 2011 100% Household and Individual - England an d Wales,single_observed_form,1,1,1,0,1,0,
datasets,Department for Education: Employer Skills Survey,single_observed_form,1,1,1,0,1,1,
datasets,Census 2011 Individual Secure Sample England and Wales,single_observed_form,1,1,1,0,1,1,
datasets,Census 2011 and Census 2021 England and Wales,single_observed_form,1,2,2,0,2,2,
datasets,Integrated Census Microdata,single_observed_form,1,2,2,0,2,0,
datasets,Annual Business Survey - UK,single_observed_form,1,1,1,0,1,1,
datasets,Business Register Employment Survey - UK Living Costs and Food Survey - UK Labour Force Survey Household - UK Consumer and Retail Price Index - UK Annual Survey of Hours and Earnings Longitudinal - UK Annual Population Survey,single_observed_form,1,1,1,0,1,1,
datasets,National Travel Survey English Housing Survey,single_observed_form,1,1,1,0,1,0,
datasets,English Housing Survey UK Household Electricity and Activity Survey Smart Energy Research Lab Observatory,single_observed_form,1,1,1,0,1,1,
datasets,DEA Research Project Accreditation Understanding Society,single_observed_form,1,1,1,0,1,0,
datasets,MoJ Data First Link Ed Criminal Courts,single_observed_form,1,1,1,0,1,1,
datasets,MoJ Data First Magistrates Court Defendant Iteration 2,single_observed_form,1,1,1,0,1,1,
datasets,Children of the 2020s Longitudinal Study,single_observed_form,1,2,2,0,2,2,
datasets,Census Microdata 9% Sample,single_observed_form,1,1,1,0,1,0,
datasets,Digital library of historical directories,single_observed_form,1,1,1,0,1,0,
datasets,Urban Population Database,single_observed_form,1,1,1,0,1,0,
datasets,Longitudinal Study of young people in England,single_observed_form,1,1,1,0,1,0,
datasets,Low carbon and renewable energy economy,single_observed_form,1,1,1,0,1,0,
datasets,UK: 2023,single_observed_form,1,1,1,0,1,0,
datasets,UK research and Innovation Workforce Survey,single_observed_form,1,1,1,0,1,0,
datasets,Longitudinal Inter-Development Business Register,single_observed_form,1,1,1,0,1,0,
datasets,Employer Skills Survey: Investment in Training,single_observed_form,1,1,1,0,1,0,
datasets,Census 2021 10% Sample,single_observed_form,1,1,1,0,1,1,
datasets,Linked Credit Reference Agency (CRA),single_observed_form,1,1,1,0,1,1,
datasets,Northern Ireland Economic Trade,single_observed_form,1,1,1,0,1,1,
